Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
midtern-product-detail,Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:11,28-11-2025 15:13:15,1m - 3.540s,PASSED
,,,,,,,
Start listener action : sampleBeforeTestSuite,Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:11,28-11-2025 15:12:12,0.137s,PASSED
,,,,,,,
Test Cases/midtern/product-Detail/canClickProduct,Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:12,28-11-2025 15:13:09,56.425s,PASSED
"openBrowser("""")",Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:12,28-11-2025 15:12:15,2.571s,PASSED
"navigateToUrl(""https://aristino.com/collections/trang-phuc"")",Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:15,28-11-2025 15:12:55,40.151s,PASSED
"alertObj = findTestObject(""Object Repository/midtern/Page_Register/Page_alert/alert_nitification"")",Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:55,28-11-2025 15:12:55,0.082s,PASSED
"btnAllow = findTestObject(""Object Repository/midtern/Page_Register/Page_alert/button_chophep"")",Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:55,28-11-2025 15:12:55,0.012s,PASSED
"btnCloseAd = findTestObject(""Object Repository/midtern/Page_Register/Page_adventis/btn_closeAd"")",Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:55,28-11-2025 15:12:55,0.010s,PASSED
"if (waitForElementVisible(alertObj, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:55,28-11-2025 15:12:57,1.697s,PASSED
"if (waitForElementVisible(btnCloseAd, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:57,28-11-2025 15:12:57,0.284s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_home/product""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:12:57,28-11-2025 15:13:03,6.094s,PASSED
"if (waitForElementVisible(alertObj, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:03,28-11-2025 15:13:06,3.098s,PASSED
"if (waitForElementVisible(btnCloseAd, 5, OPTIONAL))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:06,28-11-2025 15:13:07,0.209s,PASSED
"verifyElementText(findTestObject(""Object Repository/midtern/Page_product-detail/button_addtocart""), ""ĐẶT HÀNG TRƯỚC"")",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:07,28-11-2025 15:13:07,0.072s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_S""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:07,28-11-2025 15:13:07,0.458s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_M""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:07,28-11-2025 15:13:07,0.321s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_L""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:07,28-11-2025 15:13:08,0.312s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_XL""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:08,28-11-2025 15:13:08,0.306s,PASSED
"verifyElementClickable(findTestObject(""midtern/Page_product-detail/size_XXL""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:08,28-11-2025 15:13:08,0.307s,PASSED
"verifyElementVisible(findTestObject(""midtern/Page_product-detail/div_image""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:08,28-11-2025 15:13:08,0.050s,PASSED
"verifyElementVisible(findTestObject(""midtern/Page_product-detail/div_image""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:08,28-11-2025 15:13:08,0.039s,PASSED
"click(findTestObject(""midtern/Page_product-detail/div_image""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:08,28-11-2025 15:13:09,0.160s,PASSED
,,,,,,,
Test Cases/midtern/product-Detail/image,Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:09,28-11-2025 15:13:15,6.062s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/img_product""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:09,28-11-2025 15:13:09,0.553s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_next_img""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:09,28-11-2025 15:13:10,0.624s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_next_img""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:10,28-11-2025 15:13:10,0.604s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_next_img""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:10,28-11-2025 15:13:11,0.618s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_next_img""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:11,28-11-2025 15:13:12,0.601s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_next_img""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:12,28-11-2025 15:13:12,0.588s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_zoom""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:12,28-11-2025 15:13:13,0.647s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_zoom""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:13,28-11-2025 15:13:13,0.602s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_zoom_in""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:13,28-11-2025 15:13:14,0.540s,PASSED
"click(findTestObject(""Object Repository/midtern/Page_product-detail/button_zoom_out""))",Edge Chromium 142.0.3595.94,,,28-11-2025 15:13:14,28-11-2025 15:13:15,0.585s,PASSED
